set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
ALzV,Employee,Senior Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,5 hours or less,Admin;team building;networking
uHfh,Employee,Design Manager,6-10,4,x,x,x,x,[^not chosen],41–50 hours,None,5 hours or less,6–10 hours,6–10 hours,6–10 hours,6–10 hours,[^not answered]
eTfP,Employee,Project Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,[^not chosen],[^not chosen],[^not chosen]
Wuvl,EmployeeAND,Research Analyst,6-10,2,x,[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,None,6–10 hours,5 hours or less,None,[^not chosen]
vFCs,Employee,"Principal Fellow, AI & Analytics",11-15,3,x,x,x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,21–30 hours,[^not chosen],[^not chosen]
iNwz,EmployeeAND,"Financial graphics reporter (Reuters), Associate (Columbia University)",1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,None,[^not chosen]
dHfv,Employee,Analytics Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,6–10 hours,Meeting stakeholders
BvJO,Employee,Data Visualization Designer,1-5,3,x,x,x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,None,None,[^not chosen]
qOba,Student,[^not answered],Less than 1 year,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen]
OWma,Employee,Business Systems Analyst Student,1-5,2,x,x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,[^not chosen],5 hours or less,[^not chosen],[^not chosen],[^not chosen]
hPEa,Academic,[^not answered],11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Explaining the visualization and data needs to others
Webo,Employee,Senior Data Visualization Associate,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,6–10 hours,11–20 hours,None,[^not chosen],[^not chosen]
zCQy,Academic,Research Software Specialist,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,5 hours or less,None,5 hours or less,None,None,[^not chosen]
wOgA,Employee,Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,emails/communicating
OjWF,Employee,Research Associate,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
yrWC,Freelance,Visualization Consultant,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,None,[^not chosen]
tFFr,FreelanceAND,Frontend Developer,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,5 hours or less,None,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
LMih,Employee,Data Visualization Lead,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
oaoN,Employee,Infographic Designer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,None,[^not chosen]
fAUA,OtherCombo,Student,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
OCUI,Employee,[^not answered],More than 30,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,None,5 hours or less,None,None,[^not chosen]
